Rank,Model,R2_mean,R2_std,RMSE_mean_kms,RMSE_std_kms,R2_seed_7,R2_seed_99,R2_seed_123,R2_seed_2026,R2_seed_42
1,hybrid_icnn,0.820487151949832,0.0313097899149441,0.194125322263192,0.0179093668476142,0.785448460952057,0.841191759923502,0.800351709968014,0.812569270267531,0.862874558638054
2,ridge,0.811590367309218,0.0293698907946461,0.198983104763093,0.0161066347829185,0.782687134513169,0.829284016786004,0.784782386545704,0.809855904410663,0.851342394290548
3,pnn,0.810707059480906,0.0286920746411316,0.199483390028381,0.0158026000869709,0.782126485719371,0.831447876791922,0.785624801106607,0.806253231556122,0.848082902230507
4,icnn,0.807667208930677,0.0219988177814921,0.201266704832994,0.011781691665313,0.786791280548087,0.822343641185085,0.784857165530976,0.809066347960583,0.835277609428653
5,dffnn,0.790349558007198,0.0308503310367737,0.209947109860487,0.0157013740857466,0.767101957741417,0.808008251325348,0.753949820306086,0.792001862752432,0.830685897910704
6,mlffnn,0.776785421129967,0.0308119661029922,0.216716342171908,0.0164091946101572,0.748347449100678,0.785429229757262,0.757559299124406,0.766436392413664,0.826154735253826
7,cnn1d,0.730077621033451,0.0410185297910171,0.238235395660706,0.019671737510195,0.681160028252535,0.745113784914122,0.717253086725718,0.715642576376881,0.791218628898001
8,Greenberg-Castagna limestone,0.548787422822633,0.0395684861002091,0.308485114762437,0.0154404455323759,0.503927335352149,0.564155844654871,0.533937489634064,0.53347198927904,0.608444455193038
9,Greenberg-Castagna shale,0.51257667725567,0.0440244282164491,0.320614340947422,0.016455123624325,0.458148453591238,0.530620260215095,0.502106679700441,0.495647464759501,0.576360528012073
10,Castagna mudrock,0.199934966077711,0.0519173877303401,0.410903842448619,0.0156973720152116,0.130892781525401,0.218275881108615,0.190138259079734,0.186868425173084,0.27349948350172
11,Greenberg-Castagna sand,0.11045059734262,0.0528243243522633,0.433297404509528,0.0153112323432956,0.0394174008645886,0.127891573215318,0.100124944974893,0.0996171981117883,0.18520186954651
